A1_FILIAL;A1_PESSOA;A1_NOME;A1_IDENT;A1_CLIENTE;A1_FORNEC;A1_VEND;A1_ETRANSP;A1_TPCGC;A1_CGC;A1_TIPO;A1_TIPORUR;A1_CEP;A1_END;A1_BAIRRO;A1_REGIAO;A1_MUN;A1_EST;A1_COD_MUN;A1_PAIS;A1_INSCR;A1_INSCRM;A1_GRPTRIB;A1_COMISS;A1_COMEMIS;A1_COMBX;A1_FONE;A1_CELULAR;A1_FAX;A1_EMAIL;A1_ENFE;A1_HPAGE;A1_FTP;A1_TABELA;A1_NREDUZ;A1_CONTATO;A1_RECPIS;A1_RECCOFI;A1_RECCSLL;A1_RAMOATV;A1_CREDITO;A1_LIMCRED;A1_ATIVO;A1_VENDE1;A1_VENDE2;A1_VENDE3;A1_COND;A1_CTADEB;A1_CTACRED;A1_SUFRAMA;A1_VENCIM;A1_COMCLI;A1_CODSIAF;A1_TRANSP;A1_SIMPLES;A1_REGESIM;A1_PERCATM;A1_ALEMISS;A1_ALBAIXA;A1_TVAR1;A1_TVAR2;A1_TVAR3;A1_TVAR4;A1_CALCSUF;A1_MENNOTA;A1_MENPAD1;A1_MENPAD2;A1_MENPAD3;A1_MENPAD4;A1_MENPAD5;A1_TPFRETE;A1_CODUSER;A1_DUPCRED;A1_UMOVME;A1_MSEXP;A1_UMOVINT;A1_UMOVID;A1_UMOVATV;A1_DTINCL;A1_IPDV;A1_IPDVINT;A1_IPDVID;A1_IPDVATV;A1_PFISICA;A1_ICSHOP;A1_ATVCSHP;A1_DTALTCS;A1_CSHOPID;A1_CSHPUTC;A1_PDVPAD;A1_IPDVCHV;A1_MSDT;A1_PERFCP;A1_CONTRIB;A1_OUTRMUN;A1_CODANTT;A1_RETISS;A1_TPNFSE;A1_GUID;A1_FLYID;A1_FLYUPD;A1_FLYDEL;A1_OBSERV
01;00003;AVANCO S.A;;S;S;N;N;J;43.297.852/0001-03;7;;04220000;AV.PRESIDENTE WILSON, 3544;IPIRANGA;;SAO PAULO;SP;50308;1058;108.706.710.119;;;0;0;0;(11)2066-0020;;(11)2914-0901;AVANCO@AVANCO.IND.BR;;;;001;;;;;;000022;N;0;1;;;;01;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20240521091900;0;;;;;;;;;;
01;00004;BEL SONNO COLCHOES LTDA;;N;S;N;N;J;02.634.416/0001-97;7;;13050436;RUA SEBASTIAO DA SILVA, 110;CIDADE JARDIM;;CAMPINAS;SP;09502;1058;244.929.780.114;;;0;0;0;(19)3729-2000;;;;;;;001;;;;;;;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00005;CALCADOS DYAN LTDA;;S;S;N;N;J;00.442.338/0001-01;7;;35519000;RUA MARIA NAZARE LACERDA, 100;JARDIM DO LAGO;;NOVA SERRANA;MG;45208;1058;452.918.437.0084;;;0;0;0;(37)3226-2736;;;;;;;001;DYAN;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00006;CALCADOS FENIX LTDA;;S;S;N;N;J;05.468.133/0001-00;7;;35515000;RUA TEOFILO COSTA PINTO, 254;CENTRO;;PERDIGAO;MG;49705;1058;4972156620086;;;0;0;0;(37)3287-0078;;;;;;;001;FENIX;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00007;CALCADOS HAVANNA LTDA;;S;S;N;N;J;04.091.407/0001-22;7;;35519000;RUA VALDOMIRO AMARAL, 100;JARDIM SAO FRANCISCO;;NOVA SERRANA;MG;45208;1058;4521084710072;;;0;0;0;(37)3226-1088;;;;;;;001;HAVANNA;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00008;CALCADOS LEJON LTDA;;S;S;N;N;J;04.738.157/0001-70;7;;35515000;AVENIDA BRASILIA, 166;CENTRO;;PERDIGAO;MG;49705;1058;497.151890.0014;;;0;0;0;;;;;;;;001;LEJON;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00009;CEMIG DISTRIBUICAO S.A;;N;S;N;N;J;06.981.180/0001-16;;;30190181;AV BARBACENA, 1200;CENTRO;;BELO HORIZONTE;MG;06200;1058;0623221360087;;;0;0;0;37-3229-7315;;;;;;;001;CEMIG;ANDERSON CARLOS CORREIA;;;;000060;N;0;1;;;;05;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20210406070755;0;;;;;;;;;;Vend. Anderson Carlos Correia - gerente de relacionamento comercial e serviços - Divinópolis
01;00010;CENTRAL COMPONENTES PARA CALCADOS LTDA;;S;S;N;N;J;01.036.676/0001-06;7;;35519000;RUA JOAO JOSE DE FREITAS, 70 AX 80;PARK D.GUM.MARTINS;;NOVA SERRANA;MG;45208;1058;452.959098.0082;;;0;0;0;(37)32262172;;;;;;;001;CENTRAL COMPONENTES;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
01;00011;CONTAGEM IND.COM.ESPUMAS E COLCHOES LTDA;;S;S;N;N;J;02.748.305/0001-01;;;32185160;RUA FELIPE DOS SANTOS, 387;NACIONAL;;CONTAGEM;MG;18601;1058;1869949150119;;;0;0;0;(31)2104-1000;(37)9987-6521;;;;;;001;ORTOBOM;EVANDRO (SUPERVISOR) - ELI (VENDEDOR);;;;000069;N;0;1;;;;01;;;;;0;;T00000;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20210526115901;0;;;;;;;;;;
01;00012;GRAF COMPONENTES PARA CALCADOS LTDA;;S;S;N;N;J;03.806.078/0001-96;;;35519000;RUA PARA DE MINAS, 557;CENTRO;;NOVA SERRANA;MG;45208;1058;4520782620060;;;0;0;0;(37)3226-7466;;;;;;;001;GRAF;;;;;000016;N;0;1;;;;;;;;;0;;;2;;0;0;0;;;;;;;;;;;;;;;2;;;;;/  /;;;;;;;;;;;;;20180424090305;0;;;;;;;;;;
