F1_FILIAL;F1_TIPO;F1_FORMUL;F1_DOC;F1_SERIE;F1_PESSOA;F1_NOMPES;F1_EMISSAO;F1_COND;F1_EST;F1_DESPESA;F1_VALDESC;F1_BASEICM;F1_VALICM;F1_CONTSOC;F1_BASEIPI;F1_VALIPI;F1_VALMERC;F1_VALBRUT;F1_BASEDUP;F1_BRICMS;F1_ICMSRET;F1_IRRF;F1_INSS;F1_ISS;F1_ESPECIE;F1_BASIMP1;F1_BASIMP2;F1_BASIMP3;F1_BASIMP4;F1_BASIMP5;F1_BASIMP6;F1_VALIMP1;F1_VALIMP2;F1_VALIMP3;F1_VALIMP4;F1_VALIMP5;F1_VALIMP6;F1_QTDVOL;F1_ESPVOL;F1_MARCA;F1_PESBRUT;F1_PESLIQ;F1_DTDIGIT;F1_DTEXP;F1_FRETE;F1_TPFRETE;F1_NSU;F1_DTNSU;F1_HORNSU;F1_BASEIRR;F1_BASEINS;F1_BASEISS;F1_VALPIS;F1_BASEPIS;F1_VALCOF;F1_BASECOF;F1_VALCSLL;F1_BASECSL;F1_FIMP;F1_STATUS;F1_TRANSP;F1_SEQUEN;F1_LANPAD;F1_NUMOS;F1_NFELETR;F1_EMINFE;F1_HORNFE;F1_CREDNFE;F1_CODNFE;F1_OK;F1_ORIGLAN;F1_VALICSN;F1_BASICSN;F1_CHVNFE;F1_EVENFLG;F1_IDCCE;F1_NUMVOL;F1_HORA;F1_DAUTNFE;F1_HAUTNFE;F1_ESTDEST;F1_DUPCRED;F1_VTRANS;F1_VAFRMM;F1_INTERM;F1_CNPJAE;F1_UFTERC;F1_DTENTR;F1_HRENTR;F1_HREMIS;F1_FILORIG;F1_OUTDESP;F1_REFNFE;F1_VOUCHER;F1_FORMAPG;F1_OPERPG;F1_BANDCA;F1_TES;F1_SEGURO;F1_IMPARQ;F1_RECOPI;F1_UFREF;F1_AAMMREF;F1_CGCREF;F1_IEREF;F1_MODREF;F1_SERIERE;F1_NFREF;F1_MENNOTA
01;1;2;135541454;000;00009;CEMIG DISTRIBUICAO S.A;01/04/24;05;MG;0;0;0;0;0;0;0;13507.79;13507.79;13507.79;0;0;0;0;0;NFCEE;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;02/04/24;/  /;0;4;;/  /;;0;0;0;0;0;0;0;0;0;;;;;;;;/  /;;0;;;;0;0;;;;;08:23;/  /;;MG;2;;0;;;;/  /;00:00;08:22:40;0101;0;;0;;;;;0;F;;;02/04/24;;;04;;;
01;1;2;000262740;0;00116;AVANTI IND COM IMP E EXP LTDA 0001-86;01/04/24;01;MS;0;0;0;0;0;0;0;50457.6;50457.6;0;0;0;0;0;0;SPED;0;0;0;0;0;0;0;0;0;0;0;0;128;CAIXAS;;4938.24;4608;02/04/24;/  /;0;1;;/  /;;0;0;0;0;0;0;0;0;0;;;T00025;;;;;/  /;;0;150240012854322;;;0;0;50240403681757000186550000002627401851515084;;;;07:49;/  /;;MG;2;;0;;;;/  /;00:00;07:48:55;0101;0;;0;;;;;0;T;;;02/04/24;;;04;;;POR CONTA E ORDEM DE SOMA TEXTIL REF A NF 262739
01;1;2;000041458;;F00166;EMPRESA MINEIRA DE CARTOES LTDA;01/04/24;01;MG;0;0;0;0;0;0;0;4074;4074;4074;0;0;0;0;0;SPED;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;03/04/24;/  /;0;4;;/  /;;0;0;0;0;0;0;0;0;0;;;;;;;;/  /;;0;;;;0;0;;;;;09:30;/  /;;MG;2;;0;;;;/  /;00:00;09:30:14;0101;0;;0;;;;;0;F;;;03/04/24;;;04;;;
01;4;2;000002493;1;C00030;MODA DZM IND E COM DE LINGERIE LTDA ME;01/04/24;25;RJ;0;0;0;0;0;0;0;56795.4;56795.4;0;0;0;0;0;0;SPED;0;0;0;0;0;0;0;0;0;0;0;0;139;CAIXA;;5362.62;5004;01/04/24;/  /;0;;;/  /;;0;0;0;0;0;0;0;0;0;;;;;;;;/  /;;0;333240083825115;;;0;0;33240417650279000151550010000024931000198887;;;;16:09;/  /;;MG;2;;0;;;;/  /;00:00;16:08:42;0101;0;;0;;;;;0;T;;;01/04/24;;;04;;;NOTA DE COBERTURA REF A NF 262424 DA AVANTI
01;1;2;000262816;0;00116;AVANTI IND COM IMP E EXP LTDA 0001-86;02/04/24;01;MS;0;0;0;0;0;0;0;30384;30384;0;0;0;0;0;0;SPED;0;0;0;0;0;0;0;0;0;0;0;0;80;CAIXAS;;3086.4;2880;03/04/24;/  /;0;1;;/  /;;0;0;0;0;0;0;0;0;0;;;T00025;;;;;/  /;;0;150240013070125;;;0;0;50240403681757000186550000002628161344428423;;;;07:36;/  /;;MG;2;;0;;;;/  /;00:00;07:35:15;0101;0;;0;;;;;0;T;;;03/04/24;;;04;;;POR CONTA E ORDEM DE FALCON SHOES REF A NF 262815
01;1;2;000001769;1;F00159;AUTO POSTO CENTENARIO LTDA;02/04/24;02;MG;0;7.72;0;0;0;0;0;227.35;219.63;0;0;0;0;0;0;SPED;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;03/04/24;/  /;0;;;/  /;;0;0;0;0;0;0;0;0;0;;;;;;;;/  /;;0;131245892377574;;;0;0;31240435523371000132550010000017691901537880;;;;07:33;/  /;;MG;2;;0;;;;/  /;00:00;07:32:48;0101;0;;0;;;;;0;T;;;03/04/24;;;04;;;
01;1;2;000012975;;F00179;TOTVS - RS;02/04/24;01;RS;0;0;0;0;0;0;0;1083.6;1083.6;1083.6;0;0;0;0;0;SPED;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;02/04/24;/  /;0;4;;/  /;;0;0;0;0;0;0;0;0;0;;;;;;;;/  /;;0;;;;0;0;;;;;07:50;/  /;;MG;2;;0;;;;/  /;00:00;07:49:53;0101;0;;0;;;;;0;F;;;02/04/24;;;04;;;
01;1;2;000064480;00U;F00234;LINK NET BANDA LARGA EIRELI ME;02/04/24;02;MG;0;0;0;0;0;0;0;99.9;99.9;99.9;0;0;0;0;0;NFSC;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;03/04/24;/  /;0;4;;/  /;;0;0;0;0;0;0;0;0;0;;;;;;;;/  /;;0;;;;0;0;;;;;07:50;/  /;;MG;2;;0;;;;/  /;00:00;07:48:08;0101;0;;0;;;;;0;F;;;03/04/24;;;04;;;
01;4;2;000001102;1;C00084;SOMA TEXTIL LTDA;02/04/24;08;GO;0;0;0;0;0;0;0;50457.6;50457.6;0;0;0;0;0;0;SPED;0;0;0;0;0;0;0;0;0;0;0;0;128;caixas;;4938.24;4608;03/04/24;/  /;0;1;;/  /;;0;0;0;0;-50457.6;0;-50457.6;0;0;;;T00025;;;;;/  /;;0;152247397891546;;;0;0;52240442389673000125550010000011021098410333;;;;07:45;/  /;;MG;2;;0;;;;/  /;00:00;07:45:13;0101;0;;0;;;;;0;T;;;03/04/24;;;04;;;NOTA DE COBERTURA REF A NF 262740 AVANTI
01;3;2;000001068;1;00036;NOVA SERRANA COUROS LTDA.;03/04/24;04;MG;0;0;0;0;0;0;0;165.55;165.55;165.55;0;0;0;0;0;CTE;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;03/04/24;/  /;0;4;;/  /;;0;0;0;0;0;0;0;0;0;;;00036;;;;;/  /;;0;;;;0;0;;;;;16:25;/  /;;MG;2;;0;;;;/  /;00:00;16:24:38;0101;0;;0;;;;;0;F;;;03/04/24;;;04;;;
